Player,Pos_x,Age_x,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,SeasonType_x,MPG,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,SeasonType_y,MPG_p,PER_diff,VORP_diff,WS/48_diff,abs_WS_diff
Bryn Forbes,SG,25,SAS,82,2293,12.0,0.586,0.522,0.099,0.9,10.4,5.7,10.6,1.0,0.1,8.8,17.4,2.5,1.3,3.8,0.079,-0.3,-0.9,-1.2,0.5,2019,Regular Season,27.963414634146343,7,212,11.6,0.625,0.554,0.161,0.5,12.1,6.3,4.8,0.2,0.4,4.8,13.7,0.4,0.0,0.4,0.082,-0.2,-0.6,-0.8,0.1,Playoffs,30.285714285714285,-0.4000000000000003,-0.4,0.003,0.003
CJ McCollum,SG,27,POR,70,2375,17.0,0.553,0.358,0.154,2.9,9.7,6.3,13.8,1.1,0.9,7.4,25.5,4.0,1.7,5.6,0.114,2.1,-1.0,1.0,1.8,2019,Regular Season,33.92857142857143,16,635,17.9,0.527,0.334,0.16,2.3,11.0,6.7,16.8,1.0,1.3,7.4,27.6,0.8,0.3,1.0,0.079,3.4,-0.7,2.6,0.7,Playoffs,39.6875,0.8999999999999986,-1.1,-0.035,0.035
CJ McCollum,SG,28,POR,70,2556,17.0,0.541,0.378,0.136,1.9,10.2,6.1,19.1,1.0,1.4,8.1,25.9,3.5,0.6,4.1,0.077,2.3,-1.8,0.5,1.6,2020,Regular Season,36.51428571428571,5,196,14.9,0.534,0.354,0.222,2.7,12.9,7.8,14.6,1.4,0.9,12.1,26.3,0.0,0.1,0.1,0.021,2.4,-1.4,1.0,0.1,Playoffs,39.2,-2.1,-1.5,-0.0559999999999999,0.0559999999999999
CJ McCollum,SG,29,POR,47,1600,20.8,0.577,0.475,0.15,2.0,10.6,6.2,23.0,1.3,1.2,6.5,27.1,4.1,0.6,4.7,0.141,5.0,-1.1,3.9,2.4,2021,Regular Season,34.04255319148936,6,240,12.8,0.518,0.368,0.114,3.0,14.1,8.7,17.0,0.4,1.5,9.1,24.7,0.1,0.0,0.0,0.007,-0.4,-2.9,-3.3,-0.1,Playoffs,40.0,-8.0,-2.5,-0.1339999999999999,0.1339999999999999
CJ McCollum,SG,30,NOP,62,2145,18.3,0.553,0.403,0.146,2.6,11.5,6.9,26.1,1.6,1.0,9.3,27.5,2.6,1.0,3.6,0.081,3.2,-1.3,1.9,2.1,2022,Regular Season,34.596774193548384,6,234,15.5,0.487,0.408,0.208,5.2,15.7,10.1,20.5,0.9,1.8,9.9,27.9,0.2,0.0,0.2,0.047,2.6,-2.0,0.6,0.2,Playoffs,39.0,-2.8000000000000007,-1.9,-0.034,0.034
Caleb Martin,SF,27,MIA,71,2077,11.4,0.571,0.431,0.206,4.8,15.0,9.7,8.2,1.7,1.5,11.5,14.4,1.2,2.5,3.7,0.086,-1.8,0.5,-1.2,0.4,2023,Regular Season,29.253521126760564,23,694,15.3,0.657,0.505,0.17,4.4,16.4,10.3,7.8,1.5,1.3,9.8,15.9,1.2,0.8,2.0,0.14,0.6,1.7,2.3,0.8,Playoffs,30.17391304347826,3.9,0.4,0.054,0.054
Cameron Johnson,PF,26,BRK,42,1199,17.1,0.617,0.538,0.253,3.2,14.0,8.6,9.6,2.0,1.0,6.6,20.6,2.1,1.4,3.5,0.142,2.0,0.6,2.6,1.4,2023,Regular Season,28.547619047619047,4,152,16.4,0.637,0.509,0.127,2.3,14.9,8.7,13.8,1.1,0.6,7.9,20.4,0.2,0.1,0.3,0.105,2.2,1.0,3.2,0.2,Playoffs,38.0,-0.7000000000000028,-1.2,-0.0369999999999999,0.0369999999999999
Caris LeVert,SG,25,BRK,45,1330,16.1,0.514,0.301,0.269,3.9,10.7,7.4,25.0,1.9,0.6,12.6,29.5,0.1,1.4,1.5,0.055,0.6,-0.9,-0.3,0.5,2020,Regular Season,29.55555555555556,4,140,17.1,0.482,0.288,0.342,5.4,12.4,8.6,48.3,1.7,0.7,13.4,28.5,0.0,0.0,0.0,0.0,3.2,-0.7,2.6,0.2,Playoffs,35.0,1.0,-0.3,-0.055,0.055
Caris LeVert,SG,28,CLE,74,2237,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,0.095,-1.0,0.8,-0.2,1.0,2023,Regular Season,30.22972972972973,5,170,12.4,0.546,0.571,0.206,2.9,12.5,7.9,13.3,0.6,0.5,6.8,20.3,0.1,0.2,0.3,0.092,1.2,0.8,2.1,0.2,Playoffs,34.0,0.0,-0.8,-0.003,0.003
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.206,3.9,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,2020,Regular Season,32.793103448275865,5,176,8.4,0.512,0.279,0.206,0.6,14.4,7.5,9.1,1.3,1.0,14.9,20.6,-0.2,0.1,-0.1,-0.021,-2.3,-0.7,-2.9,0.0,Playoffs,35.2,-4.0,0.8,-0.054,0.054
